category,id,name,emoji
protein,egg,卵,🥚
protein,pork,豚肉,🥩
protein,chicken,鶏肉,🍗
protein,tofu,豆腐,⬜
protein,bacon,ベーコン,🥓
protein,tuna,ツナ缶,🐟
veg,cabbage,キャベツ,🥬
veg,onion,玉ねぎ,🧅
veg,carrot,にんじん,🥕
veg,potato,じゃがいも,🥔
veg,moyashi,もやし,🌱
veg,pepper,ピーマン,🫑
veg,daikon,大根,⚪
veg,negi,長ねぎ,🥬
veg,tomato,トマト,🍅
veg,kinoko,きのこ,🍄
other,rice,ご飯,🍚
other,noodle,うどん,🍜
other,chikuwa,ちくわ,🍥
other,cheese,チーズ,🧀
